행정구역별,산업별,사업체구분별,2021,2021,2022,2022,2023,2023,2024,2024
행정구역별,산업별,사업체구분별,사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
,,"공장,지사(점),영업소",981,6271,1134,6513,1080,6591,1165,6627
대  구,전체 산업,계,279798,1004563,279223,1014987,285388,1028785,286841,1021246
,,단독사업체,265727,745418,264530,741663,270646,756364,271539,745900
,,"본사,본점 등",2912,91957,3163,95152,3041,94204,3078,98182
,,"공장,지사(점),영업소",11159,167188,11530,178172,11701,178217,12224,177164
,"농업, 임업 및 어업(01~03)",계,58,389,58,393,96,575,83,563
,,단독사업체,47,95,47,92,78,218,69,218
,,"본사,본점 등",4,122,5,124,9,155,7,140
,,"공장,지사(점),영업소",7,172,6,177,9,202,7,205
,광업(05~08),계,9,23,9,19,10,84,8,73
,,단독사업체,9,23,9,19,9,21,7,14
,,"공장,지사(점),영업소",-,-,-,-,1,X,1,X
,제조업(10~34),계,32690,169828,32445,169297,30025,164964,28408,159551
,,단독사업체,31441,123295,31101,120667,28785,116478,27145,112015
,,"본사,본점 등",605,31761,611,30194,572,28440,576,29550
,,"공장,지사(점),영업소",644,14772,733,18436,668,20046,687,17986
,"전기, 가스, 증기 및 공기조절 공급업(35)",계,651,3308,705,3391,1357,4014,1965,4561
,,단독사업체,619,801,668,867,1304,1517,1909,2092
,,"본사,본점 등",11,1357,13,1399,18,1363,22,1366
,,"공장,지사(점),영업소",21,1150,24,1125,35,1134,34,1103
,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,467,4488,484,4498,499,4670,496,4663
,,단독사업체,405,2694,407,2590,421,2726,418,2686
,,"본사,본점 등",25,644,31,545,26,520,25,539
,,"공장,지사(점),영업소",37,1150,46,1363,52,1424,53,1438
,건설업(41~42),계,19393,75353,19535,75231,20206,73138,20418,70905
,,단독사업체,18819,58256,18988,58249,19701,58472,19930,56067
,,"본사,본점 등",242,11132,204,11598,198,9399,197,9777
,,"공장,지사(점),영업소",332,5965,343,5384,307,5267,291,5061
,도매 및 소매업(45~47),계,74078,159185,72840,155393,75135,155834,76045,152493
,,단독사업체,70300,129707,69134,125892,71562,126867,72419,124019
,,"본사,본점 등",569,6571,603,6251,583,6480,586,6621
,,"공장,지사(점),영업소",3209,22907,3103,23250,2990,22487,3040,21853
,운수 및 창고업(49~52),계,31075,56222,31605,56927,34118,59657,33457,59297
,,단독사업체,30667,47199,31194,47366,33646,49657,32980,49462
,,"본사,본점 등",72,2562,67,2697,71,2427,69,2566
,,"공장,지사(점),영업소",336,6461,344,6864,401,7573,408,7269
,숙박 및 음식점업(55~56),계,38117,88808,37517,92541,37976,97701,37729,94265
,,단독사업체,37118,80693,36443,83849,36730,87808,36417,84775
,,"본사,본점 등",95,878,103,866,108,1392,108,958
,,"공장,지사(점),영업소",904,7237,971,7826,1138,8501,1204,8532
,정보통신업(58~63),계,2812,16564,3009,16931,3052,16924,3141,15968
,,단독사업체,2524,10052,2708,10409,2744,10329,2824,9772
,,"본사,본점 등",98,3641,100,3492,97,3552,101,3396
,,"공장,지사(점),영업소",190,2871,201,3030,211,3043,216,2800
,금융 및 보험업(64~66),계,2789,30442,2711,31189,2843,31052,2895,32499
,,단독사업체,1247,4011,1170,3757,1277,3775,1303,3890
,,"본사,본점 등",156,3790,157,3947,164,3797,159,3758
,,"공장,지사(점),영업소",1386,22641,1384,23485,1402,23480,1433,24851
,부동산업(68),계,12607,30461,12522,29852,12480,28935,12214,29114
,,단독사업체,11251,21680,11097,20221,10937,18498,10485,17085
,,"본사,본점 등",236,1804,299,2169,259,1876,275,2022
,,"공장,지사(점),영업소",1120,6977,1126,7462,1284,8561,1454,10007
,"전문, 과학 및 기술 서비스업(70~73)",계,8299,34582,8293,34584,8417,36467,8883,35746
,,단독사업체,7486,23744,7457,23306,7558,23362,7976,23116
,,"본사,본점 등",269,4802,273,4796,306,6570,303,5679
,,"공장,지사(점),영업소",544,6036,563,6482,553,6535,604,6951
,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,5524,43132,5319,46305,5263,45788,5339,46699
